order_id,account_id,order_date,total_amount
1,1,2025-08-27,2559.84
2,9,2025-08-17,1641.25
3,8,2025-08-26,3883.12
4,37,2025-09-01,892.16
5,17,2025-09-06,596.87
6,46,2025-08-25,3107.55
7,1,2025-08-22,1240.54
8,35,2025-08-17,704.39
9,45,2025-08-23,1106.06
10,30,2025-09-07,1437.47
11,36,2025-09-01,1374.06
12,2,2025-08-28,768.15
13,22,2025-08-19,1408.5
14,44,2025-08-15,2668.54
15,26,2025-08-17,3754.47
16,11,2025-08-14,2613.68
17,30,2025-08-19,999.49
18,10,2025-08-28,626.16
19,12,2025-08-18,1322.71
20,34,2025-08-21,3292.75
21,18,2025-08-22,2100.36
22,35,2025-08-17,755.96
23,31,2025-08-27,2041.06
24,28,2025-08-15,2367.81
25,18,2025-09-10,1164.45
26,4,2025-08-25,1430.85
27,19,2025-08-20,1447.38
28,20,2025-08-23,1900.14
29,26,2025-09-06,1286.26
30,33,2025-08-28,2090.83
31,32,2025-08-31,3359.32
32,6,2025-08-26,1306.14
33,3,2025-08-17,1169.62
34,28,2025-08-22,1409.74
