web_event_id,account_id,event_type,url,occurred_at
1,23,form_submit,https://example.com,2025-08-31 00:00:00
2,15,pageview,https://example.com,2025-09-06 00:00:00
3,43,pageview,https://example.com,2025-09-03 00:00:00
4,22,form_submit,https://example.com,2025-08-31 00:00:00
5,5,form_submit,https://example.com,2025-09-04 00:00:00
6,42,webinar_signup,https://example.com,2025-09-03 00:00:00
7,44,webinar_signup,https://example.com,2025-09-04 00:00:00
8,2,pageview,https://example.com,2025-09-04 00:00:00
9,12,webinar_signup,https://example.com,2025-09-04 00:00:00
10,3,pageview,https://example.com,2025-09-02 00:00:00
11,28,form_submit,https://example.com,2025-09-01 00:00:00
12,21,form_submit,https://example.com,2025-09-02 00:00:00
13,30,form_submit,https://example.com,2025-09-02 00:00:00
14,37,pageview,https://example.com,2025-09-02 00:00:00
15,45,form_submit,https://example.com,2025-09-04 00:00:00
16,26,pageview,https://example.com,2025-09-06 00:00:00
17,42,webinar_signup,https://example.com,2025-09-07 00:00:00
18,7,form_submit,https://example.com,2025-09-06 00:00:00
19,23,form_submit,https://example.com,2025-09-02 00:00:00
20,25,form_submit,https://example.com,2025-09-04 00:00:00
21,48,webinar_signup,https://example.com,2025-09-04 00:00:00
22,39,pageview,https://example.com,2025-09-05 00:00:00
23,15,form_submit,https://example.com,2025-09-05 00:00:00
24,37,pageview,https://example.com,2025-09-07 00:00:00
25,35,form_submit,https://example.com,2025-09-04 00:00:00
26,24,pageview,https://example.com,2025-09-05 00:00:00
27,42,form_submit,https://example.com,2025-09-09 00:00:00
28,27,form_submit,https://example.com,2025-09-09 00:00:00
29,28,form_submit,https://example.com,2025-09-04 00:00:00
30,13,pageview,https://example.com,2025-09-05 00:00:00
31,31,form_submit,https://example.com,2025-09-05 00:00:00
32,38,webinar_signup,https://example.com,2025-09-06 00:00:00
33,19,pageview,https://example.com,2025-09-04 00:00:00
34,13,form_submit,https://example.com,2025-09-09 00:00:00
35,24,pageview,https://example.com,2025-09-08 00:00:00
36,1,webinar_signup,https://example.com,2025-09-06 00:00:00
37,19,pageview,https://example.com,2025-09-10 00:00:00
38,19,webinar_signup,https://example.com,2025-09-09 00:00:00
39,45,form_submit,https://example.com,2025-09-11 00:00:00
40,44,pageview,https://example.com,2025-09-09 00:00:00
41,41,webinar_signup,https://example.com,2025-09-06 00:00:00
42,13,form_submit,https://example.com,2025-09-11 00:00:00
43,35,pageview,https://example.com,2025-09-06 00:00:00
44,10,form_submit,https://example.com,2025-09-05 00:00:00
45,10,pageview,https://example.com,2025-09-11 00:00:00
46,11,form_submit,https://example.com,2025-09-07 00:00:00
47,48,webinar_signup,https://example.com,2025-09-09 00:00:00
48,29,pageview,https://example.com,2025-09-08 00:00:00
49,46,pageview,https://example.com,2025-09-12 00:00:00
50,36,pageview,https://example.com,2025-09-10 00:00:00
51,27,pageview,https://example.com,2025-09-13 00:00:00
52,8,form_submit,https://example.com,2025-09-14 00:00:00
53,42,pageview,https://example.com,2025-09-11 00:00:00
54,46,form_submit,https://example.com,2025-09-10 00:00:00
55,46,form_submit,https://example.com,2025-09-11 00:00:00
56,31,form_submit,https://example.com,2025-09-13 00:00:00
