opportunity_id,account_id,stage,expected_close_date,amount_expected,source,created_at,closed_at
1,11,Negotiation,2026-01-28,2019.28,Bid,2025-08-20,
2,46,MQL,2026-01-24,6343.09,Inbound,2025-08-20,
3,1,POC,2025-11-04,3088.06,Bid,2025-09-04,
4,45,SQL,2025-11-14,3228.79,Outbound,2025-08-20,
5,3,SQL,2026-01-09,9444.2,Bid,2025-08-19,
6,24,POC,2026-01-26,2429.71,Bid,2025-09-05,
7,43,ClosedWon,2025-12-31,2859.67,Bid,2025-08-19,2025-12-20
8,43,ClosedWon,2025-11-08,8017.17,Webinar,2025-08-15,2025-10-10
9,20,Negotiation,2026-02-14,2511.48,Inbound,2025-08-29,
10,30,ClosedWon,2025-11-12,1524.14,Inbound,2025-08-14,2025-10-28
11,43,MQL,2026-02-21,587.49,Bid,2025-08-22,
12,39,MQL,2025-12-29,6479.6,Outbound,2025-08-15,
13,9,POC,2026-02-23,1358.33,Bid,2025-09-09,
14,26,ClosedWon,2026-03-03,5697.07,Inbound,2025-08-19,2026-03-02
15,6,POC,2026-01-27,1827.02,Webinar,2025-09-05,
16,30,ClosedWon,2025-11-25,1708.95,Inbound,2025-09-08,2025-11-16
17,25,ClosedWon,2026-01-01,2852.58,Bid,2025-09-03,2025-12-17
18,21,ClosedWon,2026-01-04,5918.29,Webinar,2025-08-16,2025-12-06
19,18,POC,2026-01-01,5912.14,Inbound,2025-08-14,
20,16,MQL,2025-11-02,2573.06,Outbound,2025-09-02,
21,29,ClosedWon,2025-12-12,9876.94,Webinar,2025-08-17,2025-11-27
22,37,SQL,2026-01-16,11532.9,Bid,2025-08-31,
23,2,ClosedWon,2026-02-14,6270.17,Inbound,2025-08-14,2026-02-03
24,12,POC,2026-02-12,6037.62,Outbound,2025-09-04,
25,23,ClosedWon,2025-12-16,14252.75,Webinar,2025-08-31,2025-12-07
26,41,SQL,2026-02-14,20178.31,Webinar,2025-09-08,
27,1,SQL,2026-03-07,6795.29,Inbound,2025-09-02,
28,31,Negotiation,2026-02-11,26842.05,Outbound,2025-08-28,
29,22,SQL,2025-11-28,11225.83,Outbound,2025-09-10,
