ticket_id,account_id,product_id,opened_at,closed_at,severity,issue_type
1,43,0,2025-08-10,2025-08-22,P3,training
2,16,0,2025-08-29,2025-09-01,P2,delivery
3,45,0,2025-09-03,2025-09-10,P3,delivery
4,3,0,2025-08-10,2025-08-18,P3,training
5,15,0,2025-08-31,2025-09-14,P3,quality
6,44,0,2025-08-29,2025-09-02,P3,quality
7,13,0,2025-09-03,2025-09-04,P3,training
8,3,0,2025-08-31,2025-09-08,P3,delivery
9,27,0,2025-08-27,2025-09-09,P2,training
10,38,0,2025-08-17,2025-08-18,P2,delivery
11,37,0,2025-08-27,2025-09-04,P2,quality
