web_event_id,account_id,event_type,url,occurred_at
1,23,form_submit,https://example.com,2025-08-31 00:00:00
2,15,pageview,https://example.com,2025-09-06 00:00:00
3,43,pageview,https://example.com,2025-09-03 00:00:00
4,22,form_submit,https://example.com,2025-08-31 00:00:00
5,5,form_submit,https://example.com,2025-09-04 00:00:00
6,42,webinar_signup,https://example.com,2025-09-03 00:00:00
7,44,webinar_signup,https://example.com,2025-09-04 00:00:00
8,2,pageview,https://example.com,2025-09-04 00:00:00
9,12,webinar_signup,https://example.com,2025-09-04 00:00:00
10,3,pageview,https://example.com,2025-09-02 00:00:00
11,28,form_submit,https://example.com,2025-09-01 00:00:00
12,21,form_submit,https://example.com,2025-09-02 00:00:00
13,30,form_submit,https://example.com,2025-09-02 00:00:00
14,37,pageview,https://example.com,2025-09-02 00:00:00
15,45,form_submit,https://example.com,2025-09-04 00:00:00
16,26,pageview,https://example.com,2025-09-06 00:00:00
17,42,webinar_signup,https://example.com,2025-09-07 00:00:00
18,7,form_submit,https://example.com,2025-09-06 00:00:00
19,23,form_submit,https://example.com,2025-09-02 00:00:00
20,25,form_submit,https://example.com,2025-09-04 00:00:00
21,48,webinar_signup,https://example.com,2025-09-04 00:00:00
22,39,pageview,https://example.com,2025-09-05 00:00:00
23,15,form_submit,https://example.com,2025-09-05 00:00:00
