order_id,account_id,order_date,total_amount
1,2,2025-07-14,8077.5105286557155
2,2,2025-06-17,5116.739620704379
3,2,2025-01-29,1748.9035179258185
4,2,2025-02-01,6033.8147142510725
5,2,2024-12-13,8861.993334815197
6,3,2024-12-09,4603.314030406484
7,3,2025-02-17,1267.3823634173918
8,3,2025-07-17,5651.693584431574
9,3,2025-04-11,4393.750263831787
10,3,2025-08-27,5758.654444909696
11,3,2024-11-27,3488.126775768169
12,4,2025-08-06,5934.358502910319
13,4,2025-01-15,5732.313166935057
14,4,2025-04-20,5819.612068556368
15,4,2025-05-02,3556.2766284037634
16,4,2024-09-28,9313.330819749386
17,4,2024-10-13,5954.568463023736
18,4,2024-11-04,1513.7614617971385
19,4,2025-05-08,585.5354597275345
20,4,2025-03-24,5087.329839730008
21,5,2025-04-25,4647.167433724637
22,5,2025-08-08,3018.5032993088134
23,5,2024-12-16,6187.801623292471
24,5,2024-10-03,1616.657705324858
25,5,2025-02-16,3860.580464630315
26,5,2024-12-31,2316.9618617674137
27,6,2025-03-12,9282.455851053513
28,6,2025-08-04,10512.160026462561
29,6,2025-03-29,10715.18064219341
30,6,2025-08-31,5106.729430953875
31,6,2024-11-24,4720.104051039525
32,6,2024-12-24,5393.173478138433
33,6,2025-01-27,14536.561038102605
34,6,2025-05-17,7553.8567245343675
35,7,2025-04-15,7906.993610827574
36,7,2025-02-14,3530.7494512963726
37,7,2024-10-08,7725.8040796763335
38,8,2025-04-26,5835.727743535418
39,8,2024-12-06,6009.749379816304
40,8,2025-07-23,6274.897692308447
41,10,2025-08-31,2053.941740509098
42,10,2024-10-01,673.1025933217661
43,10,2025-03-23,5251.943009943363
44,11,2025-05-08,7493.095573003923
45,11,2025-06-01,973.4745008872792
46,11,2025-03-21,3245.3775952009983
47,11,2025-03-05,4860.238188981982
48,11,2025-07-25,1976.3211511293657
49,11,2025-08-23,7172.8480323686845
50,11,2025-06-13,675.8387599357311
51,12,2024-10-26,4963.042121212066
52,12,2025-07-31,4337.098046640937
53,12,2025-05-19,4916.052630409346
54,12,2024-12-08,5676.679518530542
55,12,2025-08-02,1666.6852972473253
56,12,2024-09-20,1484.0852212976156
57,13,2025-08-14,5866.7500015061205
58,13,2024-10-06,3705.9816852814683
59,13,2025-05-22,2505.0995324789637
60,13,2024-11-19,2500.8898316119653
61,13,2024-11-09,3326.8133375143557
62,14,2025-07-11,5115.743368942751
63,14,2025-03-29,8148.018831630221
64,14,2025-07-13,2971.948082955894
65,14,2025-03-04,6436.626615561385
66,14,2024-12-19,393.0737902216424
67,15,2025-04-16,5307.659551178801
68,15,2025-08-29,9764.828321447787
69,15,2024-12-05,3133.377664115846
70,15,2025-04-15,4323.7056523157025
71,15,2025-07-27,1168.9506650893154
72,15,2025-04-23,1771.2643990436954
