bid_id,account_id,bid_due_date,bid_status,est_amount,created_at
16,41,2025-10-03,won,23237.533026363846,2025-08-21
10,24,2025-09-10,submitted,23617.728721242755,2025-07-24
1,1,2025-09-30,won,37861.99268652914,2025-07-20
9,20,2025-09-13,lost,31416.566973910256,2025-08-11
18,50,2025-10-09,planned,25987.45060680176,2025-08-15
13,32,2025-09-20,lost,30200.372908663117,2025-08-23
2,3,2025-09-19,submitted,32433.989164005394,2025-06-27
14,39,2025-09-13,won,48309.54288756565,2025-07-04
6,15,2025-09-19,won,7571.723783895664,2025-06-19
3,6,2025-10-14,planned,26603.949743934314,2025-06-24
12,30,2025-10-02,lost,24629.030104338868,2025-08-25
21,54,2025-10-14,won,41692.70109070171,2025-07-03
4,7,2025-10-03,submitted,22165.989461033794,2025-08-24
5,11,2025-10-15,won,30645.896569432218,2025-07-10
19,52,2025-09-22,planned,30244.487219197865,2025-09-01
17,47,2025-10-13,lost,41781.848528171846,2025-06-30
22,55,2025-09-22,submitted,26718.80828800058,2025-07-19
23,60,2025-09-25,submitted,49509.43482686692,2025-08-19
