interaction_id,account_id,contact_id,channel,outcome,occurred_at
1,28,0,demo,positive,2025-09-05 00:00:00
2,3,0,demo,neutral,2025-09-04 00:00:00
3,24,0,webinar,neutral,2025-08-31 00:00:00
4,3,0,visit,positive,2025-09-04 00:00:00
5,14,0,visit,positive,2025-09-01 00:00:00
6,16,0,webinar,negative,2025-09-01 00:00:00
7,7,0,call,negative,2025-09-04 00:00:00
8,36,0,demo,positive,2025-08-31 00:00:00
9,27,0,visit,neutral,2025-09-02 00:00:00
10,48,0,webinar,neutral,2025-09-05 00:00:00
11,21,0,visit,positive,2025-09-04 00:00:00
12,45,0,webinar,positive,2025-09-05 00:00:00
13,36,0,demo,neutral,2025-09-06 00:00:00
14,13,0,visit,negative,2025-09-04 00:00:00
15,43,0,demo,positive,2025-09-04 00:00:00
16,44,0,email,neutral,2025-09-02 00:00:00
17,12,0,visit,neutral,2025-09-03 00:00:00
18,37,0,demo,neutral,2025-09-05 00:00:00
19,26,0,demo,positive,2025-09-03 00:00:00
20,1,0,webinar,positive,2025-09-05 00:00:00
21,19,0,visit,positive,2025-09-06 00:00:00
22,28,0,visit,negative,2025-09-01 00:00:00
23,38,0,webinar,neutral,2025-09-03 00:00:00
24,42,0,email,positive,2025-09-05 00:00:00
25,40,0,call,positive,2025-09-02 00:00:00
26,47,0,visit,neutral,2025-09-04 00:00:00
27,28,0,demo,negative,2025-09-02 00:00:00
28,36,0,call,positive,2025-09-05 00:00:00
29,11,0,demo,positive,2025-09-03 00:00:00
30,31,0,demo,positive,2025-09-05 00:00:00
31,17,0,visit,neutral,2025-09-02 00:00:00
32,16,0,webinar,positive,2025-09-02 00:00:00
33,41,0,call,positive,2025-09-06 00:00:00
34,34,0,webinar,neutral,2025-09-05 00:00:00
35,41,0,call,positive,2025-09-07 00:00:00
36,18,0,visit,neutral,2025-09-05 00:00:00
37,5,0,webinar,neutral,2025-09-03 00:00:00
38,19,0,demo,neutral,2025-09-07 00:00:00
39,18,0,visit,neutral,2025-09-06 00:00:00
40,18,0,webinar,positive,2025-09-03 00:00:00
41,27,0,visit,positive,2025-09-07 00:00:00
42,6,0,webinar,neutral,2025-09-06 00:00:00
43,2,0,visit,neutral,2025-09-04 00:00:00
44,35,0,webinar,neutral,2025-09-09 00:00:00
45,23,0,webinar,positive,2025-09-08 00:00:00
46,42,0,email,neutral,2025-09-09 00:00:00
47,42,0,email,neutral,2025-09-09 00:00:00
48,2,0,visit,positive,2025-09-08 00:00:00
49,13,0,demo,positive,2025-09-03 00:00:00
50,2,0,webinar,negative,2025-09-05 00:00:00
51,10,0,demo,negative,2025-09-08 00:00:00
52,9,0,visit,neutral,2025-09-06 00:00:00
53,43,0,visit,neutral,2025-09-09 00:00:00
54,36,0,email,positive,2025-09-10 00:00:00
55,34,0,demo,positive,2025-09-09 00:00:00
56,6,0,visit,positive,2025-09-09 00:00:00
57,47,0,demo,neutral,2025-09-07 00:00:00
58,32,0,demo,neutral,2025-09-06 00:00:00
59,16,0,webinar,positive,2025-09-05 00:00:00
60,31,0,email,positive,2025-09-05 00:00:00
61,46,0,webinar,neutral,2025-09-07 00:00:00
62,29,0,email,positive,2025-09-04 00:00:00
63,2,0,visit,positive,2025-09-10 00:00:00
64,19,0,webinar,neutral,2025-09-09 00:00:00
65,26,0,visit,neutral,2025-09-05 00:00:00
66,31,0,email,positive,2025-09-11 00:00:00
67,5,0,webinar,positive,2025-09-08 00:00:00
68,32,0,webinar,negative,2025-09-11 00:00:00
69,37,0,email,neutral,2025-09-06 00:00:00
70,44,0,webinar,neutral,2025-09-11 00:00:00
71,10,0,demo,positive,2025-09-10 00:00:00
72,37,0,demo,positive,2025-09-09 00:00:00
73,6,0,visit,neutral,2025-09-10 00:00:00
74,8,0,webinar,positive,2025-09-07 00:00:00
75,27,0,visit,neutral,2025-09-07 00:00:00
76,39,0,email,neutral,2025-09-05 00:00:00
77,40,0,webinar,positive,2025-09-10 00:00:00
78,18,0,demo,neutral,2025-09-13 00:00:00
79,38,0,email,positive,2025-09-11 00:00:00
80,41,0,call,neutral,2025-09-08 00:00:00
81,32,0,email,positive,2025-09-14 00:00:00
82,31,0,email,positive,2025-09-12 00:00:00
83,27,0,webinar,negative,2025-09-12 00:00:00
84,21,0,webinar,positive,2025-09-09 00:00:00
85,7,0,call,negative,2025-09-08 00:00:00
86,11,0,visit,neutral,2025-09-12 00:00:00
87,27,0,demo,positive,2025-09-09 00:00:00
88,32,0,demo,neutral,2025-09-12 00:00:00
89,43,0,email,neutral,2025-09-11 00:00:00
90,36,0,email,positive,2025-09-14 00:00:00
91,30,0,demo,positive,2025-09-14 00:00:00
92,21,0,visit,neutral,2025-09-12 00:00:00
93,10,0,webinar,positive,2025-09-16 00:00:00
94,35,0,visit,neutral,2025-09-16 00:00:00
95,23,0,visit,negative,2025-09-17 00:00:00
96,36,0,demo,positive,2025-09-13 00:00:00
97,35,0,email,positive,2025-09-16 00:00:00
98,30,0,call,positive,2025-09-17 00:00:00
99,13,0,call,positive,2025-09-14 00:00:00
100,16,0,email,neutral,2025-09-15 00:00:00
101,25,0,call,positive,2025-09-18 00:00:00
102,27,0,visit,negative,2025-09-19 00:00:00
103,21,0,visit,neutral,2025-09-14 00:00:00
104,31,0,visit,neutral,2025-09-14 00:00:00
105,25,0,visit,neutral,2025-09-16 00:00:00
106,43,0,call,positive,2025-09-13 00:00:00
107,42,0,demo,negative,2025-09-18 00:00:00
108,19,0,email,negative,2025-09-24 00:00:00
109,35,0,call,neutral,2025-09-28 00:00:00
110,5,0,email,negative,2025-09-26 00:00:00
111,23,0,email,positive,2025-09-25 00:00:00
112,20,0,demo,positive,2025-09-24 00:00:00
113,28,0,call,neutral,2025-09-24 00:00:00
114,17,0,webinar,neutral,2025-09-26 00:00:00
115,20,0,visit,positive,2025-09-28 00:00:00
116,25,0,webinar,neutral,2025-09-23 00:00:00
117,31,0,visit,neutral,2025-09-29 00:00:00
118,16,0,visit,negative,2025-09-26 00:00:00
119,37,0,visit,neutral,2025-09-27 00:00:00
120,37,0,email,neutral,2025-09-27 00:00:00
121,45,0,webinar,positive,2025-09-27 00:00:00
122,2,0,email,neutral,2025-09-23 00:00:00
