web_event_id,account_id,event_type,url,occurred_at
31,10,form_submit,https://example.com,2025-04-21
117,30,pageview,https://example.com,2025-05-02
80,21,form_submit,https://example.com,2025-05-16
128,32,form_submit,https://example.com,2025-06-11
191,47,webinar_signup,https://example.com,2025-09-08
138,34,webinar_signup,https://example.com,2025-03-31
203,49,pageview,https://example.com,2025-05-03
46,14,webinar_signup,https://example.com,2025-08-27
174,44,form_submit,https://example.com,2025-06-17
240,53,pageview,https://example.com,2025-07-30
180,45,pageview,https://example.com,2025-05-30
268,60,form_submit,https://example.com,2025-05-24
221,51,webinar_signup,https://example.com,2025-07-02
83,21,form_submit,https://example.com,2025-04-02
187,46,webinar_signup,https://example.com,2025-07-16
186,46,webinar_signup,https://example.com,2025-07-31
242,54,form_submit,https://example.com,2025-06-25
266,60,form_submit,https://example.com,2025-04-02
105,28,pageview,https://example.com,2025-04-09
61,17,pageview,https://example.com,2025-04-19
262,60,pageview,https://example.com,2025-07-30
185,46,webinar_signup,https://example.com,2025-08-04
47,15,webinar_signup,https://example.com,2025-07-21
43,14,webinar_signup,https://example.com,2025-08-23
182,46,webinar_signup,https://example.com,2025-08-25
10,4,form_submit,https://example.com,2025-08-16
23,8,webinar_signup,https://example.com,2025-08-24
194,47,form_submit,https://example.com,2025-08-16
110,28,webinar_signup,https://example.com,2025-06-06
25,9,pageview,https://example.com,2025-08-28
114,29,form_submit,https://example.com,2025-04-16
69,18,form_submit,https://example.com,2025-07-17
144,35,form_submit,https://example.com,2025-09-07
218,50,form_submit,https://example.com,2025-06-06
198,48,webinar_signup,https://example.com,2025-06-26
7,4,form_submit,https://example.com,2025-09-03
121,31,form_submit,https://example.com,2025-08-30
68,18,form_submit,https://example.com,2025-08-04
120,31,form_submit,https://example.com,2025-06-09
119,30,pageview,https://example.com,2025-03-14
26,9,form_submit,https://example.com,2025-09-04
126,32,webinar_signup,https://example.com,2025-08-28
166,42,webinar_signup,https://example.com,2025-05-01
20,7,form_submit,https://example.com,2025-03-24
78,21,form_submit,https://example.com,2025-07-11
210,49,pageview,https://example.com,2025-05-05
91,23,pageview,https://example.com,2025-03-22
171,43,webinar_signup,https://example.com,2025-03-19
94,25,form_submit,https://example.com,2025-06-01
259,59,webinar_signup,https://example.com,2025-04-16
16,5,form_submit,https://example.com,2025-03-20
151,37,webinar_signup,https://example.com,2025-05-10
225,51,form_submit,https://example.com,2025-08-12
243,54,webinar_signup,https://example.com,2025-03-18
116,30,form_submit,https://example.com,2025-04-05
34,11,webinar_signup,https://example.com,2025-04-29
181,45,form_submit,https://example.com,2025-06-21
142,34,pageview,https://example.com,2025-03-15
249,56,pageview,https://example.com,2025-07-20
251,56,form_submit,https://example.com,2025-03-24
17,5,webinar_signup,https://example.com,2025-04-26
76,20,form_submit,https://example.com,2025-04-07
148,37,pageview,https://example.com,2025-07-05
11,4,form_submit,https://example.com,2025-06-18
226,52,form_submit,https://example.com,2025-03-19
67,18,pageview,https://example.com,2025-09-04
159,38,webinar_signup,https://example.com,2025-05-18
163,42,webinar_signup,https://example.com,2025-06-16
179,45,pageview,https://example.com,2025-03-26
74,19,pageview,https://example.com,2025-07-14
19,5,pageview,https://example.com,2025-06-15
102,27,form_submit,https://example.com,2025-03-18
229,52,form_submit,https://example.com,2025-09-04
113,29,webinar_signup,https://example.com,2025-04-04
239,53,form_submit,https://example.com,2025-04-03
87,23,form_submit,https://example.com,2025-06-25
56,17,form_submit,https://example.com,2025-04-14
98,25,form_submit,https://example.com,2025-03-23
195,48,webinar_signup,https://example.com,2025-07-29
39,13,pageview,https://example.com,2025-05-05
